ID,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,ExactMolWt,FractionCSP3,HallKierAlpha,HeavyAtomCount,HeavyAtomMolWt,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,MaxAbsEStateIndex,MaxAbsPartialCharge,MaxEStateIndex,MaxPartialCharge,MinAbsEStateIndex,MinAbsPartialCharge,MinEStateIndex,MinPartialCharge,MolLogP,MolMR,MolWt,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRadicalElectrons,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,NumValenceElectrons,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,RingCount,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,TPSA,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azide,fr_azo,fr_barbitur,fr_benzene,fr_benzodiazepine,fr_bicyclic,fr_diazo,fr_dihydropyridine,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_isocyan,fr_isothiocyan,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_prisulfonamd,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea,pIC50
CHEMBL311444,1.535,882.902,18.811,16.203,16.203,12.932,10.31,10.31,9.496,9.496,8.208,8.208,6.93,6.93,0,9.589,0,22.531,30.461,25.683,16.71,6.197,18.339,30.974,0,361.204,0.542,-2.03,27,334.269,2130091.949,17.095,5.733,2.297,160.505,13.54,0.299,13.54,0.155,0.08,0.155,-0.105,-0.299,4.786,104.697,361.485,0,3,4,0,4,0,1,1,3,0,3,0,1,2,0,2,140,0,5.783,5.783,0,0,0,14.573,0,0,0,31.563,66.213,36.568,0,5,9.589,17.14,0,4.984,28.584,52.372,0,47.815,0,0,0,0,0,0,16.55,9.589,28.584,57.936,42.252,0,5.573,0,47.03,0,0,0,0,0,0,0,0,0,56.833,0,0,0,0,0,1,0,0,0,0,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8.54
CHEMBL4111690,1.379,1127.805,22.457,18.105,18.105,15.364,11.31,11.31,9.607,9.607,7.986,7.986,6.556,6.556,5.969,13.979,0,23.684,23.317,37.668,22.897,12.263,12.133,29.367,5.107,434.201,0.423,-3.02,32,407.295,23891924.069,20.859,7.837,3.419,186.308,13.833,0.48,13.833,0.322,0.033,0.322,-1.053,-0.48,4.585,118.583,434.511,2,5,3,0,3,1,1,2,3,2,6,0,5,1,0,1,166,10.423,12.362,0,0,5.907,5.969,14.573,4.39,0,0,19.066,95.735,11.76,6.197,5,19.086,17.45,0,10.301,17.251,44.946,6.545,70.806,0,0,5.317,4.39,0,0,28.512,11.215,23.068,65.573,42.735,0,5.573,0,79.29,0,0,0,0,0,0,0,0,13.833,63.25,1,0,0,0,0,1,0,0,1,1,2,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,1,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4.82
CHEMBL4552506,1.381,1110.688,18.88,16.305,16.305,13.649,10.599,10.599,9.183,9.183,7.963,7.963,6.638,6.638,0,5.107,0,5.415,17.585,17.855,48.024,0,18.46,52.883,0,370.205,0.4,-2.55,28,344.288,6568738.632,16.409,5.728,2.132,165.275,9.885,0.508,9.885,0.115,0.221,0.115,0.221,-0.508,5.749,112.113,370.496,1,3,3,0,3,2,1,3,3,1,3,0,1,1,0,1,142,9.674,12.077,0,0,0,0,0,4.984,0,0,31.199,85.25,11.112,11.033,6,5.107,16.73,0,9.551,17.251,44.946,0,65.995,0,5.75,0,0,5.75,0,14.658,6.421,17.251,49.652,54.868,0,16.73,0,38.05,0,0,0,0,0,0,0,0,2.352,51.398,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,2,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.59
CHEMBL3137965,1.433,659.434,17.941,16.532,16.532,12.522,11.102,11.102,10.546,10.546,9.725,9.725,8.365,8.365,0,5.107,0,6.104,16.748,36.513,50.509,0,6.197,37.161,0,353.272,0.792,-0.89,26,318.27,1508082.589,17.225,6.056,2.365,158.356,10.205,0.393,10.205,0.054,0.028,0.054,-0.028,-0.393,5.569,104.712,353.55,1,2,4,0,4,0,1,1,2,1,2,0,1,4,0,4,142,5.107,0,0,0,0,0,4.984,0,0,0,19.914,109.837,12.394,6.104,5,5.107,0,0,4.984,34.502,83.657,0,30.09,0,0,0,0,0,0,16.194,0,34.502,83.116,24.526,0,0,0,33.12,0,0,0,0,0,0,0,0,0,46.667,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7.13
CHEMBL2112888,1.344,752.008,18.441,16.733,16.733,12.989,11.253,11.253,10.861,10.861,10.109,10.109,8.755,8.755,0,5.107,0,17.12,11.519,36.513,44.088,0,6.197,37.161,4.737,367.251,0.792,-0.93,27,334.269,3756735.635,16.973,5.357,1.981,162.464,10.228,0.393,10.228,0.127,0.046,0.127,-0.058,-0.393,4.689,103.905,367.533,1,3,4,1,5,0,1,1,3,1,3,0,1,4,1,5,146,9.843,5.601,0,0,0,0,4.984,0,0,0,19.914,86.52,23.372,12.208,6,9.843,0,0,4.984,34.502,83.023,0,30.09,0,0,0,0,0,0,22.298,10.338,34.502,70.777,24.526,0,0,0,45.65,0,0,0,0,0,0,0,0,0,49.917,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6.58
CHEMBL77288,1.603,556.042,16.949,15.247,15.247,11.487,10.023,10.023,9.509,9.509,8.746,8.746,7.312,7.312,0,5.107,0,6.104,16.748,37.016,38.525,11.788,0,25.079,5.207,331.251,0.857,-0.83,24,298.236,393413.346,16.628,5.862,2.302,145.763,10.093,0.411,10.093,0.058,0.108,0.058,-0.108,-0.411,4.776,96.095,331.5,2,3,4,0,4,0,0,0,3,2,3,0,2,3,0,3,134,10.314,0,0,0,0,0,0,0,0,5.156,25.497,92.289,6.215,6.104,4,10.314,6.215,0,0,39.657,77.739,0,11.649,0,0,0,0,0,0,22.632,0,34.502,71.635,16.805,0,0,0,52.82,0,0,0,0,0,0,0,0,0,47.333,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.35
CHEMBL4210737,1.346,801.802,18.441,16.825,16.825,12.979,11.27,11.27,11.035,11.035,10.245,10.245,8.938,8.938,0,5.107,0,6.104,16.245,36.513,44.088,5.573,6.197,43.237,0,363.256,0.72,-1.15,27,330.281,3250177.433,16.773,5.258,1.985,163.025,10.388,0.393,10.388,0.055,0.029,0.055,-0.029,-0.393,5.479,107.764,363.545,1,2,5,0,5,0,1,1,2,1,2,0,1,4,0,4,144,5.107,0,0,0,0,0,4.984,0,0,0,25.99,108.486,12.394,6.104,6,5.107,5.573,0,4.984,39.917,71.318,0,36.166,0,0,0,0,0,0,16.194,0,39.917,70.777,30.602,0,5.573,0,33.12,0,0,0,0,0,0,0,0,0,48.75,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8.11
CHEMBL4294403,1.346,805.859,18.441,16.526,16.526,12.979,10.948,10.948,10.474,10.474,9.563,9.563,8.194,8.194,0,5.107,0,22.535,6.104,37.016,36.82,0,12.394,37.04,4.737,365.235,0.708,-1.19,27,334.269,3250177.433,16.736,5.24,1.977,161.774,10.308,0.393,10.308,0.103,0.002,0.103,-0.154,-0.393,4.61,104.828,365.517,1,3,4,1,5,0,1,1,3,1,3,0,1,3,1,4,144,9.843,5.601,0,0,0,0,4.984,0,0,0,25.99,78.897,24.229,12.208,6,9.843,5.573,0,4.984,28.584,76.602,0,36.166,0,0,0,0,0,0,27.899,4.737,28.584,64.357,30.602,0,5.573,0,45.65,0,0,0,0,0,0,0,0,0,50.75,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6.37
CHEMBL4213452,1.469,746.008,18.811,16.642,16.642,12.932,10.905,10.905,10.272,10.272,9.205,9.205,7.815,7.815,0,10.213,0,28.956,17.754,32.104,23.978,0,18.46,30.974,0,367.251,0.708,-1.19,27,334.269,2196046.622,17.878,6.153,2.503,162.46,11.075,0.393,11.075,0.058,0.194,0.058,-0.254,-0.393,4.449,106.721,367.533,2,3,4,0,4,0,1,1,3,2,3,0,1,3,0,3,146,10.213,0,0,0,0,0,4.984,0,0,0,25.99,96.65,12.394,12.208,5,10.213,5.573,0,4.984,34.502,71.001,0,36.166,0,0,0,0,0,0,27.405,0,34.502,64.357,30.602,0,5.573,0,53.35,0,0,0,0,0,0,0,0,0,53.333,0,2,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8.14
CHEMBL4214976,1.498,819.154,19.518,17.012,17.012,13.47,10.971,10.971,10.21,10.21,9.133,9.133,7.694,7.694,0,10.314,0,22.852,17.754,37.816,23.978,0,18.46,36.13,0,380.246,0.667,-1.68,28,348.276,3766086.253,18.355,6.414,2.46,167.31,10.273,0.411,10.273,0.061,0.155,0.061,-0.245,-0.411,4.919,109.935,380.532,2,4,4,0,4,0,1,1,4,2,4,0,1,3,0,3,150,10.314,0,0,0,0,0,4.984,0,0,0,31.146,90.732,18.312,11.816,5,10.314,11.285,0,4.984,39.657,64.897,0,36.166,0,0,0,0,0,0,27.113,0,34.502,64.357,35.758,0,5.573,0,65.71,0,0,0,0,0,0,0,0,0,56.667,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7.78
CHEMBL4280255,1.498,819.154,19.518,17.012,17.012,13.47,10.971,10.971,10.21,10.21,9.133,9.133,7.694,7.694,0,10.314,0,22.852,17.754,37.816,23.978,0,18.46,36.13,0,380.246,0.667,-1.68,28,348.276,3766086.253,18.355,6.414,2.46,167.31,10.273,0.411,10.273,0.061,0.155,0.061,-0.245,-0.411,4.919,109.935,380.532,2,4,4,0,4,0,1,1,4,2,4,0,1,3,0,3,150,10.314,0,0,0,0,0,4.984,0,0,0,31.146,90.732,18.312,11.816,5,10.314,11.285,0,4.984,39.657,64.897,0,36.166,0,0,0,0,0,0,27.113,0,34.502,64.357,35.758,0,5.573,0,65.71,0,0,0,0,0,0,0,0,0,56.667,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6.82
CHEMBL4279184,1.541,881.559,19.518,16.935,16.935,13.47,10.881,10.881,10.062,10.062,8.93,8.93,7.415,7.415,0,10.368,0,22.852,17.754,31.256,23.978,0,18.46,43.119,0,374.236,0.6,-1.92,28,344.288,3766086.253,18.13,6.291,2.402,167.734,10.273,0.393,10.273,0.095,0.155,0.095,-0.245,-0.393,5.148,109.793,374.528,1,3,4,0,4,0,1,1,3,1,3,0,1,2,0,2,146,5.107,0,0,0,0,0,4.984,0,5.262,0,32.066,84.312,23.885,12.173,5,5.107,5.573,5.262,4.984,34.502,58.476,0,47.815,0,6.069,0,0,0,0,16.194,0,45.833,57.936,42.252,0,5.573,0,56.91,0,0,0,0,0,0,0,0,0,56.667,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6.61
CHEMBL3891132,1.542,903.398,17.941,15.535,15.535,12.522,9.788,9.788,8.79,8.79,7.55,7.55,5.967,5.967,0,4.795,0,10.83,24.04,6.421,29.551,5.573,24.536,49.202,0,343.194,0.417,-2.22,26,318.27,1508082.589,15.99,5.389,2.047,154.965,11.918,0.295,11.918,0.156,0.108,0.156,0.108,-0.295,5.303,104.189,343.47,0,2,4,0,4,0,1,1,2,0,2,0,1,1,0,1,132,0,0,5.783,0,0,0,9.779,0,0,0,49.791,59.447,30.147,0,5,4.795,11.356,0,4.984,22.666,39.531,0,71.616,0,0,0,0,0,0,10.767,4.795,22.666,45.094,66.053,0,5.573,0,29.96,0,0,0,0,0,0,0,0,0,51.5,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8
CHEMBL2392007,1.481,752.734,17.941,16.065,16.065,12.522,10.497,10.497,9.767,9.767,8.688,8.688,7.14,7.14,0,5.107,0,11.519,17.251,24.677,36.82,0,12.394,49.192,0,349.241,0.625,-1.41,26,318.27,1508082.589,16.741,5.792,2.238,156.977,10.162,0.393,10.162,0.055,0.089,0.055,-0.089,-0.393,5.255,105.237,349.518,1,2,4,0,4,0,1,1,2,1,2,0,1,2,0,2,138,5.107,0,0,0,0,0,4.984,0,0,0,38.142,90.229,12.394,6.104,5,5.107,5.573,0,4.984,34.502,58.476,0,48.318,0,0,0,0,0,0,16.194,0,34.502,57.936,42.754,0,5.573,0,33.12,0,0,0,0,0,0,0,0,0,48.5,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6.69
CHEMBL4293668,1.545,907.961,20.389,17.304,17.304,13.843,11.004,11.004,10.129,10.129,8.933,8.933,7.476,7.476,6.104,15.221,0,15.753,36.292,37.677,11.137,0,18.46,30.974,0,394.226,0.625,-2.01,29,364.275,5299715.287,18.983,6.495,2.66,171.63,12.035,0.393,12.035,0.246,0.063,0.246,-0.427,-0.393,5.003,111.244,394.515,1,5,4,0,4,0,1,1,4,1,5,0,2,2,0,2,154,5.107,0,0,5.697,0,0,15.098,0,0,0,25.99,77.891,30.808,11.027,5,10.03,5.573,0,4.984,28.584,64.897,0,57.55,0,0,0,0,0,0,21.118,0,38.698,64.357,41.873,0,5.573,0,76.26,0,0,0,0,0,0,0,0,0,64,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6.74
CHEMBL4209916,1.478,786.831,18.811,16.526,16.526,12.932,10.751,10.751,10.085,10.085,8.983,8.983,7.557,7.557,0,9.901,0,22.852,29.958,25.683,23.978,0,18.46,30.974,0,365.235,0.667,-1.48,27,334.269,2196046.622,17.607,6.007,2.431,161.828,13.14,0.393,13.14,0.136,0.082,0.136,-0.275,-0.393,4.658,105.721,365.517,1,3,4,0,4,0,1,1,3,1,3,0,1,3,0,3,144,5.107,5.783,0,0,0,0,9.779,0,0,0,25.99,84.312,24.732,6.104,5,9.901,11.356,0,4.984,34.502,64.897,0,36.166,0,0,0,0,0,0,21.978,4.795,34.502,64.357,30.602,0,5.573,0,50.19,0,0,0,0,0,0,0,0,0,54.667,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7.91
CHEMBL4210952,1.496,806.083,19.518,17.026,17.026,13.415,11.001,11.001,10.186,10.186,8.914,8.914,7.374,7.374,0,9.901,0,28.883,30.595,19.262,23.978,0,18.46,36.291,0,380.246,0.667,-1.68,28,348.276,3278464.412,18.355,6.414,2.6,167.378,12.866,0.393,12.866,0.22,0.106,0.22,-0.269,-0.393,3.957,109.155,380.532,2,4,3,1,4,0,1,1,3,2,4,0,1,2,1,3,150,10.423,0,0,5.907,0,0,9.779,0,0,0,25.99,84.312,24.856,6.104,5,9.901,11.48,0,10.301,28.584,70.939,0,36.166,0,0,5.317,0,0,0,28.143,4.795,28.584,64.357,30.602,0,5.573,0,62.22,0,0,0,0,0,0,0,0,0,57.167,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6.64
CHEMBL4210141,1.545,904.658,20.389,17.526,17.526,13.843,11.158,11.158,10.268,10.268,9.036,9.036,7.574,7.574,0,9.901,0,22.841,24.175,31.256,29.551,0,18.46,30.974,5.734,392.246,0.6,-1.94,29,360.287,5299715.287,19.049,6.531,2.678,172.843,12.452,0.393,12.452,0.244,0.005,0.244,-0.33,-0.393,4.254,113.444,392.543,3,4,4,0,4,0,1,1,3,2,4,0,2,2,0,2,154,10.84,0,0,5.907,0,0,9.779,0,0,0,31.563,90.732,17.967,6.104,5,9.901,11.48,0,4.984,34.317,64.897,0,47.312,0,0,5.734,0,0,0,22.102,4.795,28.584,64.357,41.749,0,5.573,0,76.21,0,0,0,0,0,0,0,0,0,60.667,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,6.92
CHEMBL4209941,1.531,894.873,19.518,16.988,16.988,13.47,10.889,10.889,10.015,10.015,8.874,8.874,7.438,7.438,0,10.368,0,16.934,24.175,31.256,29.551,0,18.46,37.043,0,374.236,0.6,-1.92,28,344.288,3766086.253,18.13,6.291,2.402,167.734,10.266,0.393,10.266,0.095,0.103,0.095,-0.262,-0.393,5.292,109.863,374.528,1,3,4,0,4,0,1,1,3,1,3,0,1,2,0,2,146,5.107,0,0,0,0,0,4.984,0,5.262,0,25.99,96.305,17.967,12.173,5,5.107,5.573,5.262,4.984,28.584,64.897,0,47.312,0,6.069,0,0,0,0,16.194,0,39.915,64.357,41.749,0,5.573,0,56.91,0,0,0,0,0,0,0,0,0,56.5,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6.76
CHEMBL3137967,1.433,659.434,17.941,16.532,16.532,12.522,11.102,11.102,10.546,10.546,9.725,9.725,8.365,8.365,0,5.107,0,6.104,16.748,36.513,50.509,0,6.197,37.161,0,353.272,0.792,-0.89,26,318.27,1508082.589,17.225,6.056,2.365,158.356,10.205,0.393,10.205,0.054,0.028,0.054,-0.028,-0.393,5.569,104.712,353.55,1,2,4,0,4,0,1,1,2,1,2,0,1,4,0,4,142,5.107,0,0,0,0,0,4.984,0,0,0,19.914,109.837,12.394,6.104,5,5.107,0,0,4.984,34.502,83.657,0,30.09,0,0,0,0,0,0,16.194,0,34.502,83.116,24.526,0,0,0,33.12,0,0,0,0,0,0,0,0,0,46.667,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8.3
CHEMBL3972629,1.469,668.434,16.527,14.857,14.857,11.522,9.776,9.776,9.379,9.379,8.507,8.507,7.396,7.396,0,5.107,0,11.519,5.415,36.513,37.801,6.197,10.879,30.236,0,327.231,0.8,-1.16,24,298.24,615855.471,15.123,4.935,1.836,143.877,10.292,0.393,10.292,0.07,0.056,0.07,-0.056,-0.393,3.742,92.795,327.472,1,4,4,0,4,0,1,1,4,1,4,0,1,3,0,3,130,5.107,0,0,0,0,0,0,4.682,0,5.099,25.137,74.032,11.112,18.498,5,5.107,5.697,0,14.994,34.502,64.897,0,18.47,0,0,0,0,0,0,26.204,0,34.502,58.793,18.47,0,5.697,0,50.94,0,0,0,0,0,0,0,0,2.007,43.326,0,1,1,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.3
CHEMBL4591875,1.197,1263.782,22.209,19.822,19.822,16.077,12.879,12.879,11.55,11.55,10.277,10.277,8.451,8.451,0,0,0,5.415,11.457,23.27,56.159,5.573,12.524,76.907,4.984,438.278,0.517,-2.62,33,404.347,99703021.315,19.814,6.943,2.696,195.979,4.713,0.334,4.713,0.1,0.25,0.1,0.25,-0.334,6.888,132.356,438.619,0,4,4,0,4,1,2,3,4,0,4,0,2,2,0,2,170,9.134,6.327,0,0,0,0,0,9.968,0,0,43.705,80.247,29.548,17.361,7,0,16.73,0,19.102,28.584,64.835,0,67.039,0,0,0,0,0,0,19.102,0,28.584,64.835,67.039,0,16.73,0,35.64,0,0,0,0,0,0,0,0,4.741,54.259,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.32
